model,acc,cov_raps_correct,cov_raps_incorrect,cov_aps_correct,cov_aps_incorrect,size_raps_correct,size_raps_incorrect,size_aps_correct,size_aps_incorrect
DeiT,0.8625,0.9949999999999999,0.6147619047619047,0.976124098533344,0.6097619047619047,1.3107582448748076,2.061904761904762,1.3035064014261404,4.293095238095239
EACE_ViTs,0.9104166666666667,0.9424102538617077,0.4947619047619048,0.9311351947051965,0.5602380952380953,1.048829215482154,1.5673809523809523,0.9944575723448199,1.6435714285714287
Swin,0.8875,0.9504526997550254,0.5270238095238096,0.9529478338199269,0.5586904761904762,1.0259068912117693,1.7413095238095238,1.1355762081556182,2.650595238095238
ViT,0.8145833333333334,1.0,0.684541847041847,1.0,0.868997113997114,2.510442730179572,2.686060606060606,4.872149046587355,8.540974025974027
