model,acc,cov_thr,cov_raps,cov_aps,size_thr,size_raps,size_aps
DeiT,0.898936170212766,0.8882978723404253,0.9148936170212764,0.9223404255319145,0.9861702127659575,1.1840425531914893,1.4180851063829787
EACE_ViTs,0.9270833333333334,0.86875,0.9270833333333333,0.9229166666666666,0.8854166666666666,1.1395833333333334,1.13125
Swin,0.8776595744680851,0.8734042553191488,0.8851063829787231,0.9244680851063828,1.0074468085106383,1.174468085106383,1.8787234042553191
ViT,0.8393617021276596,0.8989361702127658,0.9180851063829785,0.9436170212765955,1.204255319148936,2.0361702127659576,3.0382978723404257
