model,acc,cov_thr,cov_raps,cov_aps,size_thr,size_raps,size_aps
DeiT,0.02311773902554128,0.04920013094153054,0.03581384729915634,0.03918399601861353,0.07181179398850368,0.07589812332654022,0.30517269821467813
EACE_ViTs,0.032940392293420606,0.09774166789028775,0.03144230950742155,0.06443755949812247,0.10858677618827704,0.07546793326053977,0.09057110466368391
Swin,0.024695723895716518,0.06068908329133767,0.05511874958219986,0.041792852534995956,0.08887206847543759,0.09057490096863809,0.5061167029412553
ViT,0.017694999928900234,0.030193947457316336,0.03052530385341467,0.0437336272150946,0.0885531358241623,0.6258478480405095,1.2170634322907765
