model,acc,cov_raps_correct,cov_raps_incorrect,cov_aps_correct,cov_aps_incorrect,size_raps_correct,size_raps_incorrect,size_aps_correct,size_aps_incorrect
DeiT,0.022395160411940396,0.010540925533894584,0.1597814392838922,0.029602384386652185,0.246461989401414,0.3631243429616952,0.12023875006369963,0.2555901456485763,1.939170430929547
EACE_ViTs,0.02786444812185956,0.03528676138670976,0.31241385811976374,0.03613330591206765,0.3887172442714025,0.1258019754006979,0.34998839198977566,0.10147601850377044,0.5155677362897604
Swin,0.029788348041010018,0.036617915313885946,0.17614940354958425,0.03167814222638074,0.2823847276619783,0.04989986804035062,0.29267429337149503,0.09983542816379107,2.0812156470531655
ViT,0.04441188043144303,1.1102230246251565e-16,0.19399026038395242,1.1102230246251565e-16,0.1502596387521138,0.8419624610483417,0.6900375506033931,2.0769933018271107,1.3809331259089963
