model,acc,cov_thr,cov_raps,cov_aps,size_thr,size_raps,size_aps
DeiT,0.03568120160740312,0.06646381174447441,0.05826715823167508,0.04715068110213319,0.11580785091406078,0.34777733404302535,0.5005253798402209
EACE_ViTs,0.025609845714702425,0.06303780954394561,0.041666666666666664,0.06303780954394565,0.07482618748361658,0.08895939044388824,0.11669973076444443
Swin,0.044139579394640846,0.08038775626937654,0.06292295161152384,0.05329606626208304,0.0949384547229687,0.06292295161152385,0.21309376015567413
ViT,0.04709951377170328,0.06807681073973594,0.059129813770577765,0.11032709504575278,0.24689428936987742,0.7718024438583226,2.1694915701240935
