model,acc,cov_thr,cov_raps,cov_aps,size_thr,size_raps,size_aps
DeiT,0.8666666666666666,0.8708333333333332,0.9249999999999998,0.8895833333333332,1.0354166666666667,1.3958333333333335,1.6895833333333332
EACE_ViTs,0.9333333333333333,0.8875,0.9374999999999998,0.9249999999999998,0.9104166666666667,1.1520833333333333,1.1125
Swin,0.9083333333333334,0.8958333333333333,0.9104166666666667,0.9187499999999998,0.98125,1.0770833333333332,1.4333333333333333
ViT,0.8125,0.8895833333333332,0.9270833333333333,0.9291666666666666,1.3333333333333335,2.5,4.875
